Name,Rank,Arating,Grating,votes
Gloomhaven,1,8.91,8.611,24390
Pandemic Legacy: Season 1,2,8.64,8.49,30847
Through the Ages: A New Story of Civilization,3,8.54,8.259,15494
Terraforming Mars,4,8.4,8.242,38060
Twilight Struggle,5,8.32,8.174,34198
Star Wars: Rebellion,6,8.45,8.162,16408
Gaia Project,7,8.55,8.125,9019
Scythe,8,8.29,8.12,38978
Great Western Trail,9,8.29,8.08,18882
Twilight Imperium (Fourth Edition),10,8.73,8.072000000000001,6441
Terra Mystica,11,8.2,8.049,32404
War of the Ring (Second Edition),12,8.42,8.032,9711
The Castles of Burgundy,13,8.13,8.012,36374
7 Wonders Duel,14,8.12,7.9910000000000005,40128
Spirit Island,15,8.38,7.99,10518
Brass: Birmingham,16,8.62,7.986000000000001,5322
The 7th Continent,17,8.43,7.939,8806
Viticulture Essential Edition,18,8.15,7.928,17187
Concordia,19,8.1,7.926,19602
Puerto Rico,20,8.04,7.922999999999999,56150
Arkham Horror: The Card Game,21,8.23,7.921,17168
Brass: Lancashire,22,8.12,7.909,14888
Caverna: The Cave Farmers,23,8.07,7.9079999999999995,23489
Mage Knight Board Game,24,8.11,7.896,23361
Agricola,25,7.99,7.888999999999999,56722
Mansions of Madness: Second Edition,26,8.16,7.877999999999999,16322
Orléans,27,8.08,7.876,15704
A Feast for Odin,28,8.18,7.859,10958
Food Chain Magnate,29,8.18,7.855,9543
Blood Rage,30,8.03,7.849,25308
Mechs vs. Minions,31,8.13,7.817,11057
Kingdom Death: Monster,32,8.81,7.814,5778
Pandemic Legacy: Season 2,33,8.26,7.809,7043
Star Wars: Imperial Assault,34,8.08,7.806,16453
Through the Ages: A Story of Civilization,35,7.99,7.803,16855
Power Grid,36,7.89,7.801,49703
Azul,37,7.94,7.784,27043
Tzolk'in: The Mayan Calendar,38,7.93,7.778,24289
Eclipse,39,7.95,7.777,23910
Le Havre,40,7.89,7.755,22974
Robinson Crusoe: Adventures on the Cursed Island,41,7.91,7.744,26538
The Voyages of Marco Polo,42,7.94,7.732,15268
Clans of Caledonia,43,8.06,7.711,8773
Android: Netrunner,44,7.9,7.71,24205
7 Wonders,45,7.78,7.691,68427
Keyflower,46,7.86,7.676,15812
Race for the Galaxy,47,7.76,7.664,40387
Caylus,48,7.81,7.662000000000001,24569
Dominant Species,49,7.85,7.659,15617
Fields of Arle,50,8.14,7.651,5703
Anachrony,51,8.12,7.647,6814
Lords of Waterdeep,52,7.77,7.647,38316
Twilight Imperium (Third Edition),53,7.87,7.642,17196
Rising Sun,54,8.01,7.641,10376
Five Tribes,55,7.78,7.638999999999999,25469
Eldritch Horror,56,7.86,7.632999999999999,23436
El Grande,57,7.78,7.629,21127
Codenames,58,7.72,7.627000000000001,50405
Root,59,8.1,7.626,6832
Clank!: A Deck-Building Adventure,60,7.82,7.615,16763
Dominion: Intrigue,61,7.74,7.61,26965
Patchwork,62,7.72,7.603,33099
The Gallerist,63,8.02,7.602,6674
Mombasa,64,7.92,7.596,8508
Battlestar Galactica: The Board Game,65,7.74,7.591,29674
Roll for the Galaxy,66,7.73,7.586,21247
Wingspan,67,8.16,7.585,5334
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,68,7.8,7.577999999999999,13385
T.I.M.E Stories,69,7.76,7.5760000000000005,18824
Troyes,70,7.76,7.575,15004
Russian Railroads,71,7.79,7.566,12053
Tigris & Euphrates,72,7.71,7.56,23033
Trajan,73,7.78,7.556,12464
Star Wars: X-Wing Miniatures Game,74,7.77,7.551,20680
Pandemic,75,7.64,7.547000000000001,82574
Dominion,76,7.65,7.545,67814
Dead of Winter: A Crossroads Game,77,7.68,7.54,32527
Crokinole,78,7.79,7.527,9393
Pandemic: Iberia,79,8.0,7.523,6032
Kemet,80,7.75,7.521,13078
Lisboa,81,8.2,7.52,3997
Descent: Journeys in the Dark (Second Edition),82,7.73,7.501,19211
Forbidden Stars,83,7.99,7.497000000000001,5991
Stone Age,84,7.6,7.496,37962
Agricola (Revised Edition),85,8.14,7.495,4565
Alchemists,86,7.7,7.485,14546
Raiders of the North Sea,87,7.82,7.483,8424
Yokohama,88,7.92,7.482,5813
Legendary Encounters: An Alien Deck Building Game,89,7.8,7.475,9149
War of the Ring (First Edition),90,7.78,7.474,9457
Star Realms,91,7.61,7.473,28121
Castles of Mad King Ludwig,92,7.63,7.468,18702
Istanbul,93,7.61,7.4639999999999995,19716
A Game of Thrones: The Board Game (Second Edition),94,7.66,7.4639999999999995,23848
Champions of Midgard,95,7.79,7.462999999999999,8639
Santorini,96,7.65,7.462000000000001,17125
Aeon's End,97,8.06,7.457999999999999,4996
The Resistance: Avalon,98,7.63,7.457000000000001,22351
Grand Austria Hotel,99,7.78,7.455,8246
Ticket to Ride: Europe,100,7.56,7.447,47069
Chaos in the Old World,101,7.67,7.442,13160
Railways of the World,102,7.69,7.439,10412
Ora et Labora,103,7.72,7.439,8833
Suburbia,104,7.57,7.428,18870
Arcadia Quest,105,7.82,7.4270000000000005,7754
Teotihuacan: City of Gods,106,8.02,7.4270000000000005,4303
Commands & Colors: Ancients,107,7.78,7.426,7402
Architects of the West Kingdom,108,7.95,7.425,5288
Inis,109,7.79,7.42,8285
Nations,110,7.67,7.417000000000001,10024
The Lord of the Rings: The Card Game,111,7.64,7.414,18027
Captain Sonar,112,7.65,7.41,11780
Codenames: Duet,113,7.72,7.4079999999999995,7783
Dinosaur Island,114,7.9,7.403,5902
Jaipur,115,7.52,7.402,27761
Paths of Glory,116,8.02,7.402,4040
Cosmic Encounter,117,7.56,7.4,23867
Lorenzo il Magnifico,118,7.86,7.4,5487
Combat Commander: Europe,119,7.92,7.399,4864
Hansa Teutonica,120,7.63,7.395,10076
Near and Far,121,7.94,7.395,4750
Memoir '44,122,7.55,7.395,22600
Village,123,7.55,7.388999999999999,17296
Clank! In! Space!,124,7.9,7.382999999999999,4907
Sagrada,125,7.59,7.377000000000001,14292
Goa,126,7.61,7.374,10440
Age of Steam,127,7.7,7.374,7385
Ticket to Ride: Nordic Countries,128,7.64,7.374,9825
Splendor,129,7.47,7.3660000000000005,44596
Tichu,130,7.59,7.364,11989
Too Many Bones,131,8.53,7.364,2439
La Granja,132,7.71,7.3629999999999995,6705
Steam,133,7.63,7.361000000000001,8885
Zombicide: Black Plague,134,7.74,7.36,9489
Go,135,7.65,7.359,13164
The Princes of Florence,136,7.55,7.357,14023
Legendary: A Marvel Deck Building Game,137,7.6,7.353,16893
Viticulture,138,7.65,7.349,8266
Ticket to Ride,139,7.45,7.346,60045
Chronicles of Crime,140,8.07,7.345,4183
Targi,141,7.61,7.341,8869
Vinhos Deluxe Edition,142,8.25,7.3389999999999995,2590
Ra,143,7.47,7.332000000000001,17416
Sekigahara: The Unification of Japan,144,8.04,7.331,3316
Shogun,145,7.56,7.327999999999999,11884
Xia: Legends of a Drift System,146,7.84,7.327999999999999,5385
This War of Mine: The Board Game,147,7.92,7.3260000000000005,4939
Cyclades,148,7.53,7.325,15304
Galaxy Trucker,149,7.44,7.324,25458
Charterstone,150,7.69,7.3229999999999995,7817
Carcassonne,151,7.43,7.3229999999999995,84265
Magic: The Gathering,152,7.48,7.32,27748
Trickerion: Legends of Illusion,153,7.84,7.318,4692
Star Realms: Colony Wars,154,7.91,7.315,4156
Imperial Settlers,155,7.48,7.314,17346
Endeavor: Age of Sail,156,8.2,7.311,3142
YINSH,157,7.68,7.307,6347
Sushi Go Party!,158,7.52,7.305,13400
Lewis & Clark,159,7.52,7.303,10964
Power Grid Deluxe: Europe/North America,160,8.05,7.301,3045
Imperial,161,7.62,7.301,7823
Glory to Rome,162,7.49,7.3,12058
Dungeon Petz,163,7.51,7.2989999999999995,10933
Age of Empires III: The Age of Discovery,164,7.56,7.297999999999999,9482
Deception: Murder in Hong Kong,165,7.53,7.296,11028
1960: The Making of the President,166,7.6,7.292999999999999,7947
Isle of Skye: From Chieftain to King,167,7.46,7.292000000000001,15436
Bora Bora,168,7.57,7.29,8005
Hero Realms,169,7.69,7.289,7851
Hannibal: Rome vs. Carthage,170,7.81,7.287999999999999,4575
BattleLore (Second Edition),171,7.82,7.287999999999999,4815
Summoner Wars: Master Set,172,7.56,7.287999999999999,9717
Decrypto,173,7.81,7.287000000000001,4574
Runewars,174,7.67,7.284,7241
1830: Railways & Robber Barons,175,7.86,7.284,3946
Seasons,176,7.44,7.28,17475
Space Alert,177,7.47,7.28,13583
Dead of Winter: The Long Night,178,7.77,7.279,5644
Exit: The Game – The Abandoned Cabin,179,7.68,7.278,5742
Secret Hitler,180,7.59,7.274,11159
Alien Frontiers,181,7.46,7.271,13103
Mage Wars Arena,182,7.69,7.27,6794
Dixit: Odyssey,183,7.49,7.27,13296
Everdell,184,7.99,7.268,3631
Kanban: Driver's Edition,185,7.82,7.267,4114
Navegador,186,7.56,7.26,7220
Samurai,187,7.44,7.257999999999999,13440
Imperial 2030,188,7.71,7.256,5010
Mysterium,189,7.4,7.255,22980
Above and Below,190,7.51,7.252999999999999,10006
Fury of Dracula (third/fourth edition),191,7.57,7.251,8154
Rajas of the Ganges,192,7.7,7.246,4969
Indonesia,193,7.84,7.2410000000000005,3516
Battle Line,194,7.42,7.24,14039
Here I Stand,195,7.93,7.237,3285
Kingdomino,196,7.38,7.236000000000001,19472
Antiquity,197,7.91,7.234,3138
Sid Meier's Civilization: The Board Game,198,7.46,7.233,13218
Burgle Bros.,199,7.62,7.231,6038
Rococo,200,7.58,7.224,6231
Welcome To...,201,7.67,7.224,5144
That's Pretty Clever,202,7.65,7.224,5250
Onitama,203,7.48,7.223,9905
The Resistance,204,7.34,7.221,31594
Dungeon Lords,205,7.42,7.221,11990
Small World,206,7.3,7.215,53233
Star Wars: Armada,207,7.9,7.2139999999999995,3822
Agricola: All Creatures Big and Small,208,7.43,7.2139999999999995,10944
Letters from Whitechapel,209,7.44,7.212999999999999,11710
Coimbra,210,7.77,7.211,3973
The Manhattan Project: Energy Empire,211,7.82,7.21,3611
Mission: Red Planet (Second Edition),212,7.52,7.202000000000001,7094
Hive,213,7.32,7.202000000000001,24790
Merchants & Marauders,214,7.44,7.199,11452
Ghost Stories,215,7.35,7.197,17321
Modern Art,216,7.37,7.197,14179
Bruges,217,7.45,7.196000000000001,8821
Dixit,218,7.3,7.195,41135
Flamme Rouge,219,7.58,7.194,6522
KeyForge: Call of the Archons,220,7.7,7.192,5356
Detective: A Modern Crime Board Game,221,8.23,7.192,2421
Die Macher,222,7.63,7.191,4774
Century: Spice Road,223,7.4,7.188,12379
Tikal,224,7.34,7.187,16075
Acquire,225,7.35,7.187,16939
Roll Player,226,7.53,7.186,6776
Glass Road,227,7.46,7.186,7798
Ethnos,228,7.52,7.184,6524
Neuroshima Hex! 3.0,229,7.42,7.181,11900
Evolution: Climate,230,7.75,7.178999999999999,4241
Claustrophobia,231,7.55,7.178,6282
Endeavor,232,7.43,7.178,8665
Telestrations,233,7.41,7.1770000000000005,9859
Blood Bowl: Living Rulebook,234,7.86,7.176,3261
Takenoko,235,7.3,7.175,27746
Tyrants of the Underdark,236,7.88,7.172999999999999,3244
Hanamikoji,237,7.55,7.172000000000001,5854
Cthulhu Wars,238,7.95,7.172000000000001,3455
Notre Dame,239,7.37,7.17,11222
Tiny Epic Galaxies,240,7.4,7.17,11507
Love Letter,241,7.26,7.169,46562
In the Year of the Dragon,242,7.39,7.167999999999999,9701
Clash of Cultures,243,7.65,7.167000000000001,4700
Pulsar 2849,244,7.77,7.166,3612
Advanced Squad Leader,245,7.96,7.162000000000001,3242
Dune,246,7.63,7.159,5076
The Manhattan Project,247,7.42,7.157,8274
Mice and Mystics,248,7.38,7.156000000000001,14223
Codenames: Pictures,249,7.35,7.155,12486
Civilization,250,7.51,7.153,6696
San Juan,251,7.27,7.153,20666
BattleCON: Devastation of Indines,252,8.0,7.151,2650
The Pillars of the Earth,253,7.31,7.148,14961
Survive: Escape from Atlantis!,254,7.31,7.148,17191
Space Hulk (third edition),255,7.54,7.145,6373
Saint Petersburg,256,7.31,7.144,13414
King of Tokyo,257,7.23,7.141,48143
At the Gates of Loyang,258,7.38,7.132000000000001,8320
Ticket to Ride: Märklin,259,7.41,7.13,8305
Nippon,260,7.74,7.127999999999999,3353
Lords of Hellas,261,8.05,7.127000000000001,2816
Blood Bowl: Team Manager – The Card Game,262,7.38,7.125,9388
Bruxelles 1893,263,7.65,7.122999999999999,3909
Century: Golem Edition,264,7.75,7.119,3474
Macao,265,7.43,7.119,6431
Arkham Horror,266,7.29,7.1160000000000005,34151
Risk Legacy,267,7.48,7.114,6717
The Quest for El Dorado,268,7.54,7.1129999999999995,4988
Nemesis,269,8.49,7.11,2106
Fresco,270,7.31,7.108,10541
A Few Acres of Snow,271,7.41,7.107,6865
Harry Potter: Hogwarts Battle,272,7.52,7.107,6764
Arboretum,273,7.41,7.106,7095
For Sale,274,7.22,7.105,19634
