Rank,Arating,Grating,votes
1,8.91,8.611,24390
2,8.64,8.49,30847
3,8.54,8.259,15494
4,8.4,8.242,38060
5,8.32,8.174,34198
6,8.45,8.162,16408
7,8.55,8.125,9019
8,8.29,8.12,38978
9,8.29,8.08,18882
10,8.73,8.072000000000001,6441
11,8.2,8.049,32404
12,8.42,8.032,9711
13,8.13,8.012,36374
14,8.12,7.991,40128
15,8.38,7.99,10518
16,8.62,7.9860000000000015,5322
17,8.43,7.939,8806
18,8.15,7.928,17187
19,8.1,7.926,19602
20,8.04,7.922999999999999,56150
21,8.23,7.921,17168
22,8.12,7.909,14888
23,8.07,7.907999999999999,23489
24,8.11,7.896,23361
25,7.99,7.8889999999999985,56722
26,8.16,7.877999999999999,16322
27,8.08,7.876,15704
28,8.18,7.859,10958
29,8.18,7.855,9543
30,8.03,7.849,25308
31,8.13,7.817,11057
32,8.81,7.814,5778
33,8.26,7.809,7043
34,8.08,7.806,16453
35,7.99,7.803,16855
36,7.89,7.801,49703
37,7.94,7.784,27043
38,7.93,7.778,24289
39,7.95,7.777,23910
40,7.89,7.755,22974
41,7.91,7.744,26538
42,7.94,7.732,15268
43,8.06,7.711,8773
44,7.9,7.71,24205
45,7.78,7.691,68427
46,7.86,7.676,15812
47,7.76,7.664,40387
48,7.81,7.662000000000001,24569
49,7.85,7.659,15617
50,8.14,7.651,5703
51,8.12,7.647,6814
52,7.77,7.647,38316
53,7.87,7.642,17196
54,8.01,7.641,10376
55,7.78,7.6389999999999985,25469
56,7.86,7.632999999999999,23436
57,7.78,7.629,21127
58,7.72,7.627000000000002,50405
59,8.1,7.626,6832
60,7.82,7.615,16763
61,7.74,7.61,26965
62,7.72,7.603,33099
63,8.02,7.602,6674
64,7.92,7.596,8508
65,7.74,7.591,29674
66,7.73,7.586,21247
67,8.16,7.585,5334
68,7.8,7.5779999999999985,13385
69,7.76,7.576,18824
70,7.76,7.575,15004
71,7.79,7.566,12053
72,7.71,7.56,23033
73,7.78,7.556,12464
74,7.77,7.551,20680
75,7.64,7.5470000000000015,82574
76,7.65,7.545,67814
77,7.68,7.54,32527
78,7.79,7.527,9393
79,8.0,7.523,6032
80,7.75,7.521,13078
81,8.2,7.52,3997
82,7.73,7.501,19211
83,7.99,7.497000000000001,5991
84,7.6,7.496,37962
85,8.14,7.495,4565
86,7.7,7.485,14546
87,7.82,7.483,8424
88,7.92,7.482,5813
89,7.8,7.475,9149
90,7.78,7.474,9457
91,7.61,7.473,28121
92,7.63,7.468,18702
93,7.61,7.463999999999999,19716
94,7.66,7.463999999999999,23848
95,7.79,7.462999999999999,8639
96,7.65,7.4620000000000015,17125
97,8.06,7.457999999999998,4996
98,7.63,7.457000000000002,22351
99,7.78,7.455,8246
100,7.56,7.447,47069
101,7.67,7.442,13160
102,7.69,7.439,10412
103,7.72,7.439,8833
104,7.57,7.428,18870
105,7.82,7.427,7754
106,8.02,7.427,4303
107,7.78,7.426,7402
108,7.95,7.425,5288
109,7.79,7.42,8285
110,7.67,7.417000000000002,10024
111,7.64,7.414,18027
112,7.65,7.41,11780
113,7.72,7.407999999999999,7783
114,7.9,7.403,5902
115,7.52,7.402,27761
116,8.02,7.402,4040
117,7.56,7.4,23867
118,7.86,7.4,5487
119,7.92,7.399,4864
120,7.63,7.395,10076
121,7.94,7.395,4750
122,7.55,7.395,22600
123,7.55,7.3889999999999985,17296
124,7.9,7.382999999999999,4907
