Arating,Grating,votes
8.91,8.611,24390
8.64,8.490,30847
8.54,8.259,15494
8.40,8.242,38060
8.32,8.174,34198
8.45,8.162,16408
8.55,8.125,9019
8.29,8.120,38978
8.29,8.080,18882
8.73,8.072,6441
8.20,8.049,32404
8.42,8.032,9711
8.13,8.012,36374
8.12,7.991,40128
8.38,7.990,10518
8.62,7.986,5322
8.43,7.939,8806
8.15,7.928,17187
8.10,7.926,19602
8.04,7.923,56150
8.23,7.921,17168
8.12,7.909,14888
8.07,7.908,23489
8.11,7.896,23361
7.99,7.889,56722
8.16,7.878,16322
8.08,7.876,15704
8.18,7.859,10958
8.18,7.855,9543
8.03,7.849,25308
8.13,7.817,11057
8.81,7.814,5778
8.26,7.809,7043
8.08,7.806,16453
7.99,7.803,16855
7.89,7.801,49703
7.94,7.784,27043
7.93,7.778,24289
7.95,7.777,23910
7.89,7.755,22974
7.91,7.744,26538
7.94,7.732,15268
8.06,7.711,8773
7.90,7.710,24205
7.78,7.691,68427
7.86,7.676,15812
7.76,7.664,40387
7.81,7.662,24569
7.85,7.659,15617
8.14,7.651,5703
8.12,7.647,6814
7.77,7.647,38316
7.87,7.642,17196
8.01,7.641,10376
7.78,7.639,25469
7.86,7.633,23436
7.78,7.629,21127
7.72,7.627,50405
8.10,7.626,6832
7.82,7.615,16763
7.74,7.610,26965
7.72,7.603,33099
8.02,7.602,6674
7.92,7.596,8508
7.74,7.591,29674
7.73,7.586,21247
8.16,7.585,5334
7.80,7.578,13385
7.76,7.576,18824
7.76,7.575,15004
7.79,7.566,12053
7.71,7.560,23033
7.78,7.556,12464
7.77,7.551,20680
7.64,7.547,82574
7.65,7.545,67814
7.68,7.540,32527
7.79,7.527,9393
8.00,7.523,6032
7.75,7.521,13078
8.20,7.520,3997
7.73,7.501,19211
7.99,7.497,5991
7.60,7.496,37962
8.14,7.495,4565
7.70,7.485,14546
7.82,7.483,8424
7.92,7.482,5813
7.80,7.475,9149
7.78,7.474,9457
7.61,7.473,28121
7.63,7.468,18702
7.61,7.464,19716
7.66,7.464,23848
7.79,7.463,8639
7.65,7.462,17125
8.06,7.458,4996
7.63,7.457,22351
7.78,7.455,8246
7.56,7.447,47069
7.67,7.442,13160
7.69,7.439,10412
7.72,7.439,8833
7.57,7.428,18870
7.82,7.427,7754
8.02,7.427,4303
7.78,7.426,7402
7.95,7.425,5288
7.79,7.420,8285
7.67,7.417,10024
7.64,7.414,18027
7.65,7.410,11780
7.72,7.408,7783
7.90,7.403,5902
7.52,7.402,27761
8.02,7.402,4040
7.56,7.400,23867
7.86,7.400,5487
7.92,7.399,4864
7.63,7.395,10076
7.94,7.395,4750
7.55,7.395,22600
7.55,7.389,17296
7.90,7.383,4907
7.59,7.377,14292
7.61,7.374,10440
7.70,7.374,7385
7.64,7.374,9825
7.47,7.366,44596
7.59,7.364,11989
8.53,7.364,2439
7.71,7.363,6705
7.63,7.361,8885
7.74,7.360,9489
7.65,7.359,13164
7.55,7.357,14023
7.60,7.353,16893
7.65,7.349,8266
7.45,7.346,60045
8.07,7.345,4183
7.61,7.341,8869
8.25,7.339,2590
7.47,7.332,17416
8.04,7.331,3316
7.56,7.328,11884
7.84,7.328,5385
7.92,7.326,4939
7.53,7.325,15304
7.44,7.324,25458
7.69,7.323,7817
7.43,7.323,84265
7.48,7.320,27748
7.84,7.318,4692
7.91,7.315,4156
7.48,7.314,17346
8.20,7.311,3142
7.68,7.307,6347
7.52,7.305,13400
7.52,7.303,10964
8.05,7.301,3045
7.62,7.301,7823
7.49,7.300,12058
7.51,7.299,10933
7.56,7.298,9482
7.53,7.296,11028
7.60,7.293,7947
7.46,7.292,15436
7.57,7.290,8005
7.69,7.289,7851
7.81,7.288,4575
7.82,7.288,4815
7.56,7.288,9717
7.81,7.287,4574
7.67,7.284,7241
7.86,7.284,3946
7.44,7.280,17475
7.47,7.280,13583
7.77,7.279,5644
7.68,7.278,5742
7.59,7.274,11159
7.46,7.271,13103
7.69,7.270,6794
7.49,7.270,13296
7.99,7.268,3631
7.82,7.267,4114
7.56,7.260,7220
7.44,7.258,13440
7.71,7.256,5010
7.40,7.255,22980
7.51,7.253,10006
7.57,7.251,8154
7.70,7.246,4969
7.84,7.241,3516
7.42,7.240,14039
7.93,7.237,3285
7.38,7.236,19472
7.91,7.234,3138
7.46,7.233,13218
7.62,7.231,6038
7.58,7.224,6231
7.67,7.224,5144
7.65,7.224,5250
7.48,7.223,9905
7.34,7.221,31594
7.42,7.221,11990
7.30,7.215,53233
7.90,7.214,3822
7.43,7.214,10944
7.44,7.213,11710
7.77,7.211,3973
7.82,7.210,3611
7.52,7.202,7094
7.32,7.202,24790
7.44,7.199,11452
7.35,7.197,17321
7.37,7.197,14179
7.45,7.196,8821
7.30,7.195,41135
7.58,7.194,6522
7.70,7.192,5356
8.23,7.192,2421
7.63,7.191,4774
7.40,7.188,12379
7.34,7.187,16075
7.35,7.187,16939
7.53,7.186,6776
7.46,7.186,7798
7.52,7.184,6524
7.42,7.181,11900
7.75,7.179,4241
7.55,7.178,6282
7.43,7.178,8665
7.41,7.177,9859
7.86,7.176,3261
7.30,7.175,27746
7.88,7.173,3244
7.55,7.172,5854
7.95,7.172,3455
7.37,7.170,11222
7.40,7.170,11507
7.26,7.169,46562
7.39,7.168,9701
7.65,7.167,4700
7.77,7.166,3612
7.96,7.162,3242
7.63,7.159,5076
7.42,7.157,8274
7.38,7.156,14223
7.35,7.155,12486
7.51,7.153,6696
7.27,7.153,20666
8.00,7.151,2650
7.31,7.148,14961
7.31,7.148,17191
7.54,7.145,6373
7.31,7.144,13414
7.23,7.141,48143
7.38,7.132,8320
7.41,7.130,8305
7.74,7.128,3353
8.05,7.127,2816
7.38,7.125,9388
7.65,7.123,3909
7.75,7.119,3474
7.43,7.119,6431
7.29,7.116,34151
7.48,7.114,6717
7.54,7.113,4988
8.49,7.110,2106
7.31,7.108,10541
7.41,7.107,6865
7.52,7.107,6764
7.41,7.106,7095
7.22,7.105,19634
7.45,7.105,5980
7.96,7.105,2369
7.93,7.099,2531
8.48,7.099,1576
7.70,7.093,3560
7.24,7.093,17930
7.55,7.093,4281
7.34,7.091,8011
7.35,7.091,8590
7.80,7.089,3070
7.37,7.088,8908
7.73,7.087,3169
7.21,7.087,23548
7.49,7.085,5161
7.60,7.083,4220
7.43,7.080,7429
7.98,7.078,2372
7.40,7.078,9029
7.55,7.078,4951
7.58,7.076,4149
7.34,7.076,7841
7.33,7.076,8032
7.21,7.076,17163
7.33,7.074,11918
7.62,7.073,3666
7.20,7.072,20824
8.01,7.071,2896
7.48,7.070,4859
7.32,7.066,10879
7.24,7.066,12912
7.38,7.063,5962
7.15,7.061,31738
7.56,7.059,4145
7.38,7.058,6537
7.46,7.058,6147
7.63,7.056,3841
7.28,7.055,13245
7.34,7.049,8450
7.14,7.048,31785
7.38,7.047,6433
7.27,7.046,9792
7.72,7.045,2757
7.44,7.044,4793
7.41,7.043,5524
7.21,7.043,12891
7.22,7.040,16825
7.64,7.040,3245
7.75,7.039,2671
7.97,7.039,2218
7.19,7.039,84569
7.78,7.039,2567
8.63,7.039,1802
7.59,7.039,3763
7.46,7.039,5815
7.31,7.038,8640
7.35,7.033,6104
7.28,7.032,11182
7.25,7.031,11506
7.17,7.029,18739
7.72,7.029,3069
7.26,7.026,9866
7.70,7.025,3621
7.33,7.023,6314
7.20,7.022,13077
7.20,7.020,11016
7.25,7.019,8649
7.49,7.019,4103
7.54,7.019,3674
7.29,7.018,7711
7.30,7.016,7624
7.60,7.016,3267
7.62,7.014,3238
7.27,7.008,7487
7.31,7.008,6646
7.13,7.008,23437
7.28,7.007,7168
7.43,7.006,4372
7.55,7.006,3613
7.10,7.004,43537
7.27,7.001,7274
7.83,7.001,3191
7.68,6.997,3424
7.23,6.997,10481
7.69,6.996,2756
7.14,6.993,14342
7.25,6.993,9786
7.21,6.991,10065
7.76,6.989,2542
7.24,6.989,8349
7.78,6.988,2749
7.35,6.986,5087
7.20,6.986,10670
7.67,6.985,2872
7.10,6.982,21173
7.21,6.981,8073
7.34,6.981,6660
7.32,6.980,5604
7.46,6.979,3926
7.23,6.979,8131
7.11,6.978,16633
7.31,6.977,5659
7.27,6.974,6322
7.30,6.972,6444
7.26,6.972,6909
7.08,6.971,26380
7.22,6.971,7934
7.42,6.970,4377
8.16,6.969,2211
7.55,6.969,3698
7.21,6.965,14100
7.44,6.965,4042
7.49,6.964,3594
7.47,6.962,4292
7.23,6.960,6785
7.44,6.960,3824
7.61,6.959,2905
7.31,6.957,5473
7.59,6.955,3551
8.08,6.955,1723
7.61,6.953,2915
7.05,6.950,33598
7.58,6.949,2901
7.17,6.949,9596
7.30,6.948,5641
7.49,6.947,3398
8.09,6.945,1936
7.50,6.944,3449
7.19,6.943,8656
7.23,6.942,6601
7.76,6.941,2324
7.35,6.941,4736
7.28,6.939,5560
7.07,6.939,18541
7.68,6.939,2463
7.20,6.939,6966
7.63,6.938,2811
7.45,6.938,3923
8.04,6.937,1726
7.39,6.937,4131
7.04,6.936,17453
7.72,6.936,2327
7.45,6.936,4282
7.29,6.935,5740
7.30,6.934,5948
8.03,6.934,1700
7.15,6.933,9345
8.24,6.932,1472
7.44,6.932,3854
7.21,6.932,8264
7.90,6.931,1947
7.16,6.931,8511
7.13,6.929,9463
7.03,6.927,25099
7.33,6.926,4989
7.14,6.926,10276
7.10,6.925,24144
7.43,6.925,3667
7.23,6.925,6134
7.04,6.921,28909
7.39,6.921,3958
7.85,6.919,2039
7.32,6.915,4511
7.62,6.913,2538
7.06,6.909,13796
8.07,6.909,1492
7.15,6.906,7948
7.35,6.906,3910
7.32,6.905,4785
7.18,6.903,6994
7.15,6.902,8678
7.29,6.901,4812
7.06,6.900,11751
7.16,6.899,7478
7.21,6.899,6211
7.47,6.898,3184
7.40,6.898,4345
7.52,6.897,2878
7.45,6.897,3354
7.05,6.896,13565
7.64,6.894,2539
7.30,6.894,4479
7.99,6.892,1625
7.80,6.892,2170
7.04,6.892,13962
7.08,6.891,30172
7.54,6.890,2907
7.19,6.889,5815
7.04,6.888,14954
7.54,6.886,2990
7.82,6.883,1845
7.28,6.883,4706
7.09,6.879,8593
8.12,6.877,1598
8.15,6.876,1564
7.04,6.874,15963
7.68,6.873,2107
8.23,6.873,1359
7.14,6.872,6565
7.37,6.870,3403
7.30,6.870,4431
7.45,6.869,3467
7.43,6.869,3674
7.66,6.868,2182
7.13,6.867,6761
7.11,6.866,7452
7.26,6.866,4490
7.33,6.865,3657
7.37,6.865,3720
6.99,6.864,15155
7.75,6.864,1947
7.14,6.864,6113
8.15,6.863,1465
7.10,6.859,7435
6.99,6.859,16626
8.11,6.859,1523
7.10,6.858,7738
7.01,6.857,19274
7.21,6.855,5136
7.28,6.854,4203
7.21,6.853,5247
7.03,6.852,11886
7.28,6.850,4057
7.94,6.850,1561
6.99,6.849,15721
7.55,6.847,2642
7.56,6.846,2421
7.78,6.846,2008
6.97,6.846,15886
8.24,6.845,1285
7.30,6.844,3800
7.24,6.843,5440
8.00,6.840,1927
7.39,6.840,3607
7.28,6.838,4369
7.06,6.837,7824
7.59,6.837,2315
7.71,6.836,1959
7.42,6.836,3087
7.12,6.835,6342
7.35,6.835,3161
7.45,6.834,2740
7.26,6.834,4893
7.15,6.833,5881
7.61,6.833,2205
7.34,6.833,3285
